case_id,node_type,node_id,relation,related_node,pattern,fraud_probability
HHG-001,CASE,HHG-001,INVOLVES_CUSTOMER,C12382,none,0.61
HHG-001,CUSTOMER,C12382,HAS_TRANSACTION,3514030,none,0.61
HHG-001,EVIDENCE,HHG-001_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.61
HHG-001,EVIDENCE,HHG-001_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.61
HHG-001,ACTION,HHG-001_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.61
HHG-001,ACTION,HHG-001_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.61
HHG-002,CASE,HHG-002,INVOLVES_CUSTOMER,C11891,none,0.79
HHG-002,CUSTOMER,C11891,HAS_TRANSACTION,3478782,none,0.79
HHG-002,EVIDENCE,HHG-002_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.79
HHG-002,EVIDENCE,HHG-002_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.79
HHG-002,ACTION,HHG-002_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.79
HHG-002,ACTION,HHG-002_ACTION_2,RECOMMENDS,STEP_UP_AUTH,none,0.79
HHG-002,ACTION,HHG-002_ACTION_3,RECOMMENDS,CREATE_CASE,none,0.79
HHG-003,CASE,HHG-003,INVOLVES_CUSTOMER,C08623,none,0.4
HHG-003,CUSTOMER,C08623,HAS_TRANSACTION,3530164,none,0.4
HHG-003,EVIDENCE,HHG-003_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.4
HHG-003,EVIDENCE,HHG-003_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.4
HHG-003,ACTION,HHG-003_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.4
HHG-003,ACTION,HHG-003_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.4
HHG-004,CASE,HHG-004,INVOLVES_CUSTOMER,C08106,card_not_present_new_device,0.49
HHG-004,CUSTOMER,C08106,HAS_TRANSACTION,3583227,card_not_present_new_device,0.49
HHG-004,EVIDENCE,HHG-004_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,card_not_present_new_device,0.49
HHG-004,EVIDENCE,HHG-004_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,card_not_present_new_device,0.49
HHG-004,DEVICE_EVIDENCE,HHG-004_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C03095,"card_not_present_fraud, card_not_present_new_device",0.49
HHG-004,ACTION,HHG-004_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,card_not_present_new_device,0.49
HHG-004,ACTION,HHG-004_ACTION_2,RECOMMENDS,CREATE_CASE,card_not_present_new_device,0.49
HHG-004,ACTION,HHG-004_ACTION_3,RECOMMENDS,FILE_REPORT,card_not_present_new_device,0.49
HHG-005,CASE,HHG-005,INVOLVES_CUSTOMER,C02923,none,0.69
HHG-005,CUSTOMER,C02923,HAS_TRANSACTION,3523199,none,0.69
HHG-005,EVIDENCE,HHG-005_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.69
HHG-005,EVIDENCE,HHG-005_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.69
HHG-005,DEVICE_EVIDENCE,HHG-005_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C01154,"account_takeover, card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.69
HHG-005,DEVICE_EVIDENCE,HHG-005_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C02342,card_not_present_new_device,0.69
HHG-005,DEVICE_EVIDENCE,HHG-005_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C13058,"card_not_present_fraud, out_of_region_use",0.69
HHG-005,ACTION,HHG-005_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.69
HHG-005,ACTION,HHG-005_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.69
HHG-006,CASE,HHG-006,INVOLVES_CUSTOMER,C07297,none,0.4
HHG-006,CUSTOMER,C07297,HAS_TRANSACTION,3476682,none,0.4
HHG-006,EVIDENCE,HHG-006_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.4
HHG-006,EVIDENCE,HHG-006_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.4
HHG-006,DEVICE_EVIDENCE,HHG-006_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C05690,"card_not_present_fraud, card_not_present_new_device",0.4
HHG-006,DEVICE_EVIDENCE,HHG-006_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C02285,account_takeover,0.4
HHG-006,DEVICE_EVIDENCE,HHG-006_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C01154,"account_takeover, card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.4
HHG-006,ACTION,HHG-006_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.4
HHG-006,ACTION,HHG-006_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.4
HHG-007,CASE,HHG-007,INVOLVES_CUSTOMER,C09933,none,0.87
HHG-007,CUSTOMER,C09933,HAS_TRANSACTION,3514948,none,0.87
HHG-007,EVIDENCE,HHG-007_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.87
HHG-007,EVIDENCE,HHG-007_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.87
HHG-007,ACTION,HHG-007_ACTION_1,RECOMMENDS,BLOCK_CARD,none,0.87
HHG-007,ACTION,HHG-007_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.87
HHG-008,CASE,HHG-008,INVOLVES_CUSTOMER,C13171,card_not_present_new_device,0.63
HHG-008,CUSTOMER,C13171,HAS_TRANSACTION,3558054,card_not_present_new_device,0.63
HHG-008,EVIDENCE,HHG-008_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,card_not_present_new_device,0.63
HHG-008,EVIDENCE,HHG-008_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,card_not_present_new_device,0.63
HHG-008,DEVICE_EVIDENCE,HHG-008_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C11807,"card_not_present_fraud, card_not_present_new_device",0.63
HHG-008,DEVICE_EVIDENCE,HHG-008_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C09742,"card_not_present_fraud, card_not_present_new_device",0.63
HHG-008,DEVICE_EVIDENCE,HHG-008_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C08943,"account_takeover, card_not_present_new_device, out_of_region_use",0.63
HHG-008,ACTION,HHG-008_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,card_not_present_new_device,0.63
HHG-008,ACTION,HHG-008_ACTION_2,RECOMMENDS,CREATE_CASE,card_not_present_new_device,0.63
